cod_localidad;localidad;cod_prov;provincia;zona_cod;zona_descr;region_cod;region_descr;amba_interior;region_pais_cod;departamento;cp
288;Lago Puelo;7;Chubut;12;Sur;5;Sur;INTERIOR;2;Cushamen;9431
290;Lamarque;5;Rio Negro;12;Sur;5;Sur;INTERIOR;2;Avellaneda;8363
292;Laprida;14;Buenos Aires;12;Sur;7;PBA;INTERIOR;2;Laprida;7414
295;Las Flores;14;Buenos Aires;6;GBA SUR;6;CAP & GBA;INTERIOR;2;Las Flores;7200
296;Las Grutas;5;Rio Negro;12;Sur;5;Sur;INTERIOR;2;San Antonio;8520
297;Las Heras;1;Mendoza;3;Cuyo;1;Cuyo;INTERIOR;2;Deseado;1665
298;Las Lajas;16;Neuquen;12;Sur;5;Sur;INTERIOR;2;Picunches;5833
299;Las Lomas;9;Jujuy;9;NOA;8;NOA Norte;INTERIOR;2;Rinconada;2900
301;Las Peñas;3;Córdoba;2;Córdoba;2;Córdoba;INTERIOR;2;Río Cuarto;5263
302;Las Varillas;3;Córdoba;2;Córdoba;2;Córdoba;INTERIOR;2;San Justo;5940
304;Ledesma;9;Jujuy;9;NOA;8;NOA Norte;INTERIOR;2;Ledesma;4512
264;Jujuy;9;Jujuy;9;NOA;8;NOA Norte;INTERIOR;2;Dr. Manuel Belgrano;4600
265;Junin;14;Buenos Aires;12;Sur;7;PBA;INTERIOR;2;Junín;6000
266;Junin de Los Andes;16;Neuquen;12;Sur;5;Sur;INTERIOR;2;Huiliches;8371
268;La Banda;11;Santiago Del Estero;9;NOA;8;NOA Norte;INTERIOR;2;Banda;5249
270;La Calera;3;Córdoba;2;Córdoba;2;Córdoba;INTERIOR;2;Colón;2823
271;La Carlota;3;Córdoba;2;Córdoba;2;Córdoba;INTERIOR;2;Juárez Celman;1852
272;La Cumbre;3;Córdoba;2;Córdoba;2;Córdoba;INTERIOR;2;Punilla;6354
273;La Falda;3;Córdoba;2;Córdoba;2;Córdoba;INTERIOR;2;Punilla;8000
276;La Lucila;8;Cap & Gba;4;GBA NORTE;6;CAP & GBA;AMBA;1;Vicente López;1637
277;La Matanza;8;Cap & Gba;6;GBA SUR;6;CAP & GBA;AMBA;1;La Matanza;1754
280;La Plata;8;Cap & Gba;6;GBA SUR;6;CAP & GBA;AMBA;1;La Plata;1900
282;La Punta;4;San Luis;3;Cuyo;1;Cuyo;INTERIOR;2;Juan Martín de Pueyrredón;4203
284;La Rioja;25;La Rioja;9;NOA;9;NOA Sur;INTERIOR;2;Capital;5300
286;Laboulaye;3;Córdoba;2;Córdoba;2;Córdoba;INTERIOR;2;Presidente Roque Sáenz Peña;5120
240;Henderson;14;Buenos Aires;12;Sur;7;PBA;INTERIOR;2;Hipólito Yrigoyen;6465
243;Huinca Renanco;3;Córdoba;2;Córdoba;2;Córdoba;INTERIOR;2;General Roca;6270
247;Ingeniero Cruz Alta;13;Tucuman;9;NOA;9;NOA Sur;INTERIOR;2;Cruz Alta;4111
248;Ingeniero Huergo;5;Rio Negro;12;Sur;5;Sur;INTERIOR;2;General Roca;8334
250;Intendente Alvear;20;La Pampa;12;Sur;7;PBA;INTERIOR;2;Chapaleufú;6221
251;Isidro Casanova;8;Cap & Gba;5;GBA OESTE;6;CAP & GBA;AMBA;1;La Matanza;1765
253;J. B. Alberdi;13;Tucuman;9;NOA;9;NOA Sur;INTERIOR;2;Juan Bautista Alberdi;4158
255;Jesus Nazareno;1;Mendoza;3;Cuyo;1;Cuyo;INTERIOR;2;Guaymallén;5523
256;Joaquin V Gonzalez;6;Salta;9;NOA;8;NOA Norte;INTERIOR;2;Anta;3634
258;Jose C. Paz;8;Cap & Gba;4;GBA NORTE;6;CAP & GBA;AMBA;1;José C. Paz;1665
259;Jose Ingenieros;8;Cap & Gba;5;GBA OESTE;6;CAP & GBA;AMBA;1;Tres de Febrero;1778
260;Jose Leon Suarez;8;Cap & Gba;6;GBA SUR;6;CAP & GBA;AMBA;1;General San Martín;1655
591;Villa Angela;19;Chaco;8;NEA;4;NEA;INTERIOR;2;Mayor Luis J. Fontana;3540
592;Villa Ballester;8;Cap & Gba;4;GBA NORTE;6;CAP & GBA;AMBA;1;General San Martín;1653
593;Villa Bosch;8;Cap & Gba;5;GBA OESTE;6;CAP & GBA;AMBA;1;Tres de Febrero;1682
594;Villa Cañas;17;Entre Rios;7;Litoral;10;Litoral;INTERIOR;2;General López;2607
597;Villa Centenario;8;Cap & Gba;6;GBA SUR;6;CAP & GBA;AMBA;1;Lomas de Zamora;2700
598;Villa Constitucion;8;Cap & Gba;1;CAP FED;6;CAP & GBA;AMBA;1;Constitución;2919
221;General Rodriguez;8;Cap & Gba;4;GBA NORTE;6;CAP & GBA;AMBA;1;General Rodríguez;1717
222;General San Martin;8;Cap & Gba;5;GBA OESTE;6;CAP & GBA;AMBA;1;General San Martín;1650
223;General Villegas;14;Buenos Aires;12;Sur;7;PBA;INTERIOR;2;General Villegas;6230
228;Godoy Cruz;1;Mendoza;3;Cuyo;1;Cuyo;INTERIOR;2;Godoy Cruz;5501
229;Gonzalez Catan;8;Cap & Gba;6;GBA SUR;6;CAP & GBA;AMBA;1;La Matanza;1759
230;Goya;10;Corrientes;8;NEA;4;NEA;INTERIOR;2;Goya;3450
232;Gregorio de Laferrere;8;Cap & Gba;6;GBA SUR;6;CAP & GBA;AMBA;1;La Matanza;1757
234;Gualeguaychu;17;Entre Rios;7;Litoral;10;Litoral;INTERIOR;2;Gualeguaychú;2820
235;Guatrache;20;La Pampa;12;Sur;7;PBA;INTERIOR;2;Guatraché;6311
238;Guiñazu;3;Córdoba;2;Córdoba;2;Córdoba;INTERIOR;2;Colón;5145
204;Gálvez;2;Santa Fe;11;Rosario;3;Rosario;INTERIOR;2;San Jerónimo;2000
205;Garin;8;Cap & Gba;5;GBA OESTE;6;CAP & GBA;AMBA;1;Escobar;1619
206;General Acha;20;La Pampa;12;Sur;7;PBA;INTERIOR;2;Utracán;8200
