id;cp;localidad;idProvincia
288;2805;Arroyo Ñacurutu Chico;1
289;1649;Arroyo Naranjito;1
290;1649;Arroyo Naranjo;1
291;1649;Arroyo Naranjo Borches;1
292;1649;Arroyo Negro (Tigre - Pdo. Campana);1
293;2800;Arroyo Negro (Zarate - Pdo. Zarate);1
294;1649;Arroyo Nogal;1
295;1649;Arroyo Nueve De Julio;1
296;1649;Arroyo Paciencia;1
297;1649;Arroyo Pacifico (Capitan);1
298;1649;Arroyo Pacifico (De La Serna);1
299;1649;Arroyo Pacu;1
300;1649;Arroyo Pajal;1
301;1649;Arroyo Pajarito;1
302;1649;Arroyo Pantanosito;1
303;1649;Arroyo Pantanoso;1
304;1649;Arroyo Paraguay;1
305;8111;Arroyo Pareja;1
306;1649;Arroyo Pati;1
307;1649;Arroyo Paycarabi;1
308;1649;Arroyo Paycarabicito;1
309;2805;Arroyo Pesqueria;1
310;1649;Arroyo Pineral;1
311;1649;Arroyo Polvora;1
312;1649;Arroyo Porfiado;1
313;1649;Arroyo Primera Hermana;1
314;1649;Arroyo Rama Negra;1
315;1649;Arroyo Ramallo;1
316;1649;Arroyo Raya;1
317;1649;Arroyo Remancito (Mendez Grande);1
318;1649;Arroyo Remancito (Carabelas);1
319;1649;Arroyo Reyes;1
320;1649;Arroyo Rico;1
321;1649;Arroyo Rinconada;1
322;1649;Arroyo Rodeo;1
323;1649;Arroyo Romancito;1
324;1649;Arroyo Romero;1
325;1649;Arroyo Sabalos;1
326;1649;Arroyo San Salvador;1
327;1649;Arroyo Santa Rosa;1
328;1649;Arroyo Santo Domingo;1
329;1647;Arroyo Sarandi (San Fernando - Pdo. San Fernando);1
330;1649;Arroyo Sarandi (Tigre - Pdo. Tigre);1
331;1649;Arroyo Sauce Lloron;1
332;1649;Arroyo Segunda Hermana;1
333;1649;Arroyo Surubi;1
334;2805;Arroyo Tajiber;1
335;1649;Arroyo Tarariras;1
336;1649;Arroyo Tela;1
337;1649;Arroyo Tiber;1
338;1649;Arroyo Tiburon;1
339;1647;Arroyo Toledito;1
340;1649;Arroyo Toledo (Palmas);1
341;1649;Arroyo Toledo (Parana Mini);1
342;1649;Arroyo Torito;1
343;1649;Arroyo Toro;1
344;1649;Arroyo Tres Sargentos;1
345;1649;Arroyo Tuyupare;1
346;1649;Arroyo Veinticinco De Noviembre;1
347;6437;Arroyo Venado;1
348;1649;Arroyo Veron;1
349;1649;Arroyo Vico;1
350;2805;Arroyo Zanjon;1
351;1895;Arturo Segui;1
352;6433;Arturo Vatteone;1
353;6640;Asamblea;1
354;6003;Ascension;1
355;6469;Asturias;1
356;6471;Atahualpa;1
357;1913;Atalaya;1
358;7116;Atilio Pessagno;1
359;2808;Atucha;1
360;7165;Autocamping El Pinar;1
361;7105;Autocamping San Clemente;1
362;1870;Avellaneda;1
363;8133;Avestruz;1
364;7150;Ayacucho;1
365;6721;Azcuenaga;1
366;8181;Azopardo;1
367;7005;Azucena;1
368;7300;Azul;1
369;1825;A. A. Fernandez;1
370;6516;Bacacay;1
371;6403;Badano;1
372;1808;Badiola;1
373;8000;Bahia Blanca;1
374;8000;Bahia Blanca Noroeste;1
375;8506;Bahia San Blas;1
376;6013;Baigorrita;1
377;8115;Bajo Hondo;1
378;7620;Balcarce;1
379;7113;Balneario Aguas Verdes;1
380;1744;Balneario Cascallares;1
381;7505;Balneario Claromeco;1
382;7609;Balneario Mar Chiquita;1
383;8153;Balneario Monte Hermoso;1
384;7511;Balneario Oceano;1
385;7167;Balneario Ostende;1
386;1802;Balneario Popular;1
387;1931;Balneario Punta Lara;1
388;7511;Balneario Reta;1
389;8153;Balneario Sauce Grande;1
390;8109;Balneario (Parada);1
391;6070;Balsa;1
392;7305;Bañado De Las Flores;1
393;1617;Bancalari;1
394;6244;Banderalo;1
395;1828;Banfield;1
396;2942;Baradero;1
397;7005;Barker;1
398;7247;Barrientos;1
399;2700;Barrio 25 De Mayo;1
400;1888;Barrio 9 De Julio (Florencio Varela, Pdo. F. Varela);1
401;1665;Barrio 9 De Julio (Jose C. Paz, Pdo. Gral. Sarmiento);1
402;7600;Barrio 9 De Julio (Mar Del Plata, Pdo. Gral. Pueyrredon);1
403;2900;Barrio 9 De Julio (San Nicolas, Pdo. San Nicolas);1
404;2700;Barrio Acevedo;1
405;1714;Barrio Aeronautico (Ituzaingo, Pdo. Moron);1
406;1665;Barrio Aeronautico (Jose C. Paz, Pdo. Gral. Sarmiento);1
407;1759;Barrio Alberdi (Gonzalez Catan, Estafeta No. 1, La Matanza);1
408;1665;Barrio Alberdi (Jose C. Paz, Pdo. Gral. Sarmiento);1
409;7600;Barrio Alfar;1
410;8000;Barrio Almafuerte (Bahia Blanca, Pdo. Bahia Blanca);1
411;1856;Barrio Almafuerte (Glew, Pdo. Alte. Brown);1
412;1766;Barrio Almafuerte (Tablada, Pdo. La Matanza);1
413;1617;Barrio Almte. Brown;1
414;1836;Barrio Alto Verde (Llavallol, Pdo. De Lomas De Zamora);1
415;2900;Barrio Alto Verde (San Nicolas, Pdo. San Nicolas);1
416;1665;Barrio Altos De Jose C.Paz;1
417;1757;Barrio Altos De Laferrere;1
418;1806;Barrio Altos De Tristan Suarez;1
419;1665;Barrio Antartida Argentina;1
420;1763;Barrio Apolo;1
421;1607;Barrio Arca;1
422;1742;Barrio Arco Iris;1
423;1665;Barrio Argital;1
424;1852;Barrio Arzeno;1
425;1847;Barrio Asuncion;1
426;8000;Barrio Avellaneda;1
427;1708;Barrio Aviacion;1
428;1804;Barrio A.T.E.;1
429;1611;Barrio Baires;1
430;7630;Barrio Banco Provincia;1
431;1663;Barrio Barilari;1
432;7601;Barrio Batan;1
433;1619;Barrio Beliera;1
434;1642;Barrio Boating Club;1
435;7600;Barrio Bosque Alegre;1
436;1759;Barrio Calderon De La Barca;1
437;2900;Barrio Carcel;1
438;6000;Barrio Carosio;1
439;7600;Barrio Caisamar;1
440;1744;Barrio Cascallares;1
441;7300;Barrio Ceferino Namuncura;1
442;1884;Barrio Centenario;1
443;2741;Barrio Central;1
444;7630;Barrio Centro;1
445;1888;Barrio Cinco Esquinas;1
446;8109;Barrio Ciudad Atlantida;1
447;2930;Barrio Cobos;1
448;7600;Barrio Colinas De Peralta Ramos;1
449;1763;Barrio Colonia San Lorenzo;1
450;7600;Barrio Constitucion;1
451;1888;Barrio Cortez;1
452;1663;Barrio Cortijo Nuevo;1
453;1667;Barrio Chelito;1
454;1657;Barrio Churruca;1
455;6600;Barrio De La Carcel;1
456;1708;Barrio De La Merced;1
457;7600;Barrio De Las Avenidas;1
458;1659;Barrio De Suboficiales Sargento Cabral (Apeadero F.C.G.U.);1
459;1806;Barrio Del Plata;1
460;2900;Barrio Destileria;1
461;1615;Barrio Devoto;1
462;1611;Barrio Doctor Ricardo Gutierrez;1
463;2914;Barrio Don Antonio;1
464;7600;Barrio Don Bosco;1
465;1854;Barrio Don Luis;1
466;1852;Barrio Doña Sol;1
467;1881;Barrio Draimar;1
468;1881;Barrio Dreymar Ii;1
469;1765;Barrio San Miguel;1
470;1889;Barrio El 36;1
471;1765;Barrio El Atalaya;1
472;1617;Barrio El Boyero;1
473;8109;Barrio El Castillo;1
474;1663;Barrio El Cortijo;1
475;1900;Barrio El Cruce;1
476;1686;Barrio El Destino;1
477;1759;Barrio El Dorado (Gonzalez Catan, Pdo. La Matanza);1
478;1879;Barrio El Dorado (Quilmes Oeste, Pdo. Quilmes);1
479;1617;Barrio El Embrujo;1
480;1663;Barrio El Faro;1
481;1852;Barrio El Gaucho (Burzaco, Pdo. Alte. Brown);1
482;7600;Barrio El Gaucho (Mar Del Plata, Pdo. Gral. Pueyrredon);1
483;1852;Barrio El Hornero;1
484;7130;Barrio El Hueco;1
485;1613;Barrio El Jaguel;1
486;1613;Barrio El Lucero;1
487;1765;Barrio El Manzanar;1
488;1759;Barrio El Mojon;1
489;1613;Barrio El Ombu (Los Polvorines, Pdo. Gral. Sarmiento);1
490;1761;Barrio El Ombu (Pontevedra, Pdo. Merlo);1
491;1884;Barrio El Once;1
492;1891;Barrio El Parque;1
493;1849;Barrio El Patronato;1
494;1617;Barrio El Perejil;1
495;1722;Barrio El Pericon;1
496;1915;Barrio El Porteño;1
497;1746;Barrio El Porvenir;1
498;1882;Barrio El Refugio;1
499;2741;Barrio El Retiro;1
500;1761;Barrio El Sol (Pontevedra, Pdo. Merlo;1
501;1763;Barrio El Sol (Puente Ezcurra, Pdo. La Matanza);1
502;1849;Barrio El Trebol;1
503;1617;Barrio El Zorzal;1
504;7600;Barrio Emir Ramon Juarez;1
505;1617;Barrio Enrique Delfino;1
506;1763;Barrio Esperanza;1
507;7100;Barrio Estacion Dolores;1
508;7631;Barrio Estacion Quequen;1
509;1802;Barrio Esteban Echeverria;1
510;7600;Barrio Faro Norte;1
511;1617;Barrio Ferrini;1
512;1882;Barrio Ferroviario;1
513;6620;Barrio Florencio Varela;1
514;7600;Barrio Florentino Ameghino;1
515;1665;Barrio Frino;1
516;1623;Barrio Garin Norte;1
517;7600;Barrio Gastronomico;1
518;1884;Barrio General Belgrano (Berazategui, Pdo. Berazategui);1
519;1888;Barrio General Belgrano (Florencio Varela, Pdo. F. Varela);1
520;1854;Barrio General Belgrano (Longchamps, Pdo. Alte. Brown);1
521;1746;Barrio General Guemes;1
522;2700;Barrio General Manuel Belgrano;1
523;2901;Barrio General Manuel Savio;1
524;1642;Barrio General Pueyrredon;1
525;7600;Barrio General Roca;1
526;6000;Barrio General San Martin;1
527;1772;Barrio General Jose M. Paz;1
528;1856;Barrio Gorriti;1
529;1842;Barrio Grande;1
530;1847;Barrio Guadalupe (Rafael Calzada, Pdo. Alte. Brown);1
531;1881;Barrio Guadalupe (San Francisco Solano, Pdo. Quilmes);1
532;1900;Barrio Hipodromo;1
533;1878;Barrio Hornos;1
534;1763;Barrio Ignacio Arieta;1
535;1759;Barrio Independencia;1
536;6400;Barrio Indio Trompa;1
537;1615;Barrio Iparraguirre;1
538;1665;Barrio Irigoin;1
539;1884;Barrio Jacaranda;1
540;1900;Barrio Jardin (La Plata, Pdo. La Plata);1
541;7400;Barrio Jardin (Olavarria, Pdo. Olavarria);1
542;1744;Barrio Jardines De Moreno;1
543;1686;Barrio Jhonson;1
544;1661;Barrio Jorge Newbery (Bella Vista, Pdo. Gral. Sarmiento);1
545;1757;Barrio Jorge Newbery (Laferrere, Pdo. La Matanza);1
546;1744;Barrio Jose A. Cortejarena;1
547;2700;Barrio Jose Hernandez;1
548;1778;Barrio Jose Ingenieros;1
549;7600;Barrio Jose Manuel Estrada;1
550;7600;Barrio Juan Gregorio De Las Heras;1
551;6500;Barrio Julio De Vedia;1
552;7600;Barrio Juramento;1
553;1619;Barrio Kilometro 48;1
554;8000;Barrio Kilometro 5;1
555;1708;Barrio La Cabaña;1
556;1852;Barrio La Carlota;1
557;1891;Barrio La Carolina;1
558;1852;Barrio La Cumbre (Burzaco, Pdo. Alte. Brown);1
559;1900;Barrio La Cumbre (La Plata, Pdo. La Plata);1
560;1980;Barrio La Dolly;1
561;1763;Barrio La Elvira;1
562;1759;Barrio La Encarnacion;1
563;1888;Barrio La Esmeralda;1
564;1663;Barrio La Estrella;1
565;8000;Barrio La Falda;1
566;1763;Barrio La Foresta;1
567;1765;Barrio La Fragata;1
568;1847;Barrio La Gloria;1
569;1667;Barrio La Granja;1
570;1849;Barrio La Jovita;1
571;1759;Barrio La Justina;1
572;1884;Barrio La Loma;1
573;7400;Barrio La Luisa;1
574;1763;Barrio La Mercedes;1
575;1842;Barrio La Morita;1
576;1664;Barrio La Nueva Estrella;1
577;1894;Barrio La Perla;1
578;1744;Barrio La Porteña (Moreno, Pdo. Moreno);1
579;1806;Barrio La Porteña (Tristan Suarez, Pdo. Esteban Echeverria);1
580;1746;Barrio La Providencia (Francisco Alvarez, Pdo. Moreno);1
581;1665;Barrio La Providencia (Jose C. Paz, Pdo. Gral. Sarmiento);1
582;1763;Barrio La Recoleta;1
583;1742;Barrio La Reconquista;1
584;1856;Barrio La Reforma;1
585;1746;Barrio La Reja Grande;1
586;1888;Barrio La Sirena;1
587;1846;Barrio La Tablada;1
588;1761;Barrio La Teja;1
589;1746;Barrio La Tradicion;1
590;1765;Barrio La Union;1
591;1744;Barrio La Victoria;1
592;1842;Barrio Landa;1
593;2804;Barrio Las Acacias (Campana, Pdo. Campana);1
594;1665;Barrio Las Acacias (Jose C. Paz, Pdo.Gral. Sarmiento);1
595;1772;Barrio Las Achiras;1
596;2930;Barrio Las Canaletas;1
597;1665;Barrio Las Heras;1
598;1890;Barrio Las Hermanas;1
599;2900;Barrio Las Lomas;1
600;1849;Barrio Las Malvinas;1
601;1980;Barrio Las Mandarinas;1
602;1889;Barrio Las Margaritas (El Rocio, Pdo. Florencio Varela);1
603;1879;Barrio Las Margaritas (Quilmes Oeste, Pdo. Quilmes);1
604;1838;Barrio Las Moreras;1
605;1759;Barrio Las Nieves;1
606;1744;Barrio Las Rosas;1
607;1849;Barrio Las Tunas;1
608;1763;Barrio Leloir De Quiroga;1
609;1655;Barrio Libertador;1
610;1838;Barrio Lindo;1
611;8000;Barrio Loma Paraguaya;1
612;1846;Barrio Loma Verde;1
613;1854;Barrio Los Alamos;1
614;7600;Barrio Los Andes;1
615;1619;Barrio Los Cachorros;1
616;1765;Barrio Los Cedros;1
617;1744;Barrio Los Cuatro Vientos;1
618;1746;Barrio Los Eucaliptos (Francisco Alvarez, Pdo. Moreno);1
619;1838;Barrio Los Eucaliptos (Luis Guillon, Pdo. E. Echeverria);1
620;1879;Barrio Los Eucaliptos (Quilmes Oeste, Pdo. Quilmes);1
621;1663;Barrio Los Eucaliptos (San Miguel, Pdo. Gral Sarmiento);1
622;1667;Barrio Los Gallitos;1
623;1744;Barrio Los Limones;1
624;1884;Barrio Los Manzanos;1
625;1663;Barrio Los Nogales;1
626;1664;Barrio Los Paraisos;1
627;1884;Barrio Los Pinos (Berazategui, Pdo. Berazategui);1
628;1836;Barrio Los Pinos (Llavallol, Pdo. Lomas De Zamora);1
629;1663;Barrio Los Pinos (San Miguel, Estaf. No. 6, Pdo.G.Sarmiento);1
630;1884;Barrio Los Troncos;1
631;1617;Barrio Los Troncos Del Talar;1
632;1722;Barrio Los Vascos;1
633;2804;Barrio Lubo;1
634;1884;Barrio Luchetti;1
635;1806;Barrio Lujan;1
636;8000;Barrio Maldonado;1
637;2700;Barrio Malvinas Argrentinas;1
638;7109;Barrio Mar De Ajo Norte;1
639;1746;Barrio Maravilla Del Oeste;1
640;1765;Barrio Marconi;1
641;1828;Barrio Mariano Moreno (Banfield, Pdo. Lomas De Zamora);1
642;1686;Barrio Mariano Moreno (Hurlingham, Pdo. Moron);1
643;1663;Barrio Mariano Moreno (San Miguel, Pdo. Gral Sarmiento);1
644;1822;Barrio Mariano Moreno (Valentin Alsina, Pdo. Lanus);1
645;1714;Barrio Marina;1
646;1886;Barrio Maritimo;1
647;1663;Barrio Martin Fierro;1
648;7300;Barrio Martin Guemes;1
649;1842;Barrio Martinez Moreno;1
650;1661;Barrio Mayor Irusta;1
651;1663;Barrio Mitre (San Miguel, Pdo. Gral. Sarmiento);1
652;2900;Barrio Mitre (San Nicolas, Pdo. San Nicolas);1
653;1888;Barrio Monte Cudine;1
654;1842;Barrio Monte Chico;1
655;1842;Barrio Montecarlo;1
656;1888;Barrio Monteverde;1
657;1759;Barrio Nahuel;1
658;1888;Barrio Nobile;1
659;8000;Barrio Noroeste;1
660;1663;Barrio Norte Sarmiento;1
661;2900;Barrio Novamur;1
662;1842;Barrio Nuestras Malvinas;1
663;7630;Barrio Nuestro Hogar;1
664;7630;Barrio Nueva Pompeya;1
665;1900;Barrio Nuevo (La Plata, Pdo. La Plata);1
666;1716;Barrio Nuevo (Libertad, Pdo. Merlo);1
667;1661;Barrio Obligado;1
668;1923;Barrio Obrero Berisso;1
669;1607;Barrio Obrero Ferroviario;1
670;1874;Barrio Obrero Villa Avellaneda;1
671;7630;Barrio Obrero (Necochea, Pdo. Necochea);1
672;6450;Barrio Obrero (Pehuajo, Pdo. Pehajo);1
673;7607;Barrio Oeste;1
674;1761;Barrio Olaechea;1
675;1763;Barrio Oro Verde;1
676;1888;Barrio Palermo Chico;1
677;6600;Barrio Pampa Chica;1
678;1650;Barrio Para Jefes Y Oficiales General San Martin;1
679;1686;Barrio Parada Gallo;1
680;2900;Barrio Parque;1
681;1613;Barrio Parque Alvear;1
682;1832;Barrio Parque Baron;1
683;7607;Barrio Parque Bristol;1
684;7600;Barrio Parque Camet;1
685;1665;Barrio Parque El Ombu;1
686;1856;Barrio Parque Ipona;1
687;1667;Barrio Parque Kanmar;1
688;7600;Barrio Parque La Florida;1
689;1663;Barrio Parque La Gloria;1
690;1623;Barrio Parque Lambare;1
691;7600;Barrio Parque Luro;1
692;1849;Barrio Parque Mariano Moreno;1
693;8000;Barrio Parque Patagonia;1
694;1708;Barrio Parque Peluffo;1
695;1669;Barrio Parque Pero;1
696;1686;Barrio Parque Quirno;1
697;1856;Barrio Parque Roma;1
698;1744;Barrio Parque Sambrizzi;1
699;1722;Barrio Parque San Martin;1
700;1665;Barrio Parque San Miguel;1
701;1828;Barrio Parque Union Y Fraternidad;1
702;1876;Barrio Pasco;1
703;7109;Barrio Pedro J. Rocco;1
704;8000;Barrio Pedro Pico;1
705;7600;Barrio Pinares;1
706;1669;Barrio Pinazo;1
707;1714;Barrio Pintemar;1
708;1759;Barrio Pitaluga;1
709;6600;Barrio Pozzi Y Pin;1
